class,method,descriptor,tier,orig_insn_count,recomp_insn_count,insn_diff,category,description,first_diff_idx,orig_context,recomp_context
zombie/AmbientStreamManager,update,()V,SORTED_MULTISET,488,488,0,ORIG_EXTRA_INSN,"Original has extra: ifne, return",2,   0: aload_0  |    1: getfield #50 | >>>4: ifne 8 |    7: return  |    8: invokestatic #274,   0: aload_0  |    1: getfield #50 | >>>4: ifeq 1109 |    7: invokestatic #274 |    10: ifeq 14
zombie/AmbientStreamManager,getListenerPos,(Lorg/joml/Vector2f;)V,STRUCTURAL,46,46,0,OPCODE_DIFF,2 opcode differences: #39 aload->aload_2; #41 aload->aload_2,10,   10: iload_3  |    11: getstatic #527 | >>>14: if_icmpge 100 |    17: getstatic #530 |    20: iload_3 ,   10: iload_3  |    11: getstatic #527 | >>>14: if_icmpge 102 |    17: getstatic #530 |    20: iload_3 
zombie/GameSounds,loadNonBankSounds,()V,STRUCTURAL,24,24,0,ORIG_EXTRA_2,"Original has 2 extra insns: {'ifne': 1, 'return': 1, 'goto': 1}",2,   0: getstatic #187 |    3: instanceof #192 | >>>6: ifne 10 |    9: return  |    10: getstatic #17,   0: getstatic #187 |    3: instanceof #192 | >>>6: ifeq 85 |    9: getstatic #17 |    12: invokevirtual #77
zombie/GameWindow,InitDisplay,()V,SORTED_MULTISET,98,100,2,OPCODE_DIFF,2 opcode differences: #49 putstatic->dup; #50 iconst_1->putstatic,0,>>>0: ldc_w #504 |    3: invokestatic #506 |    6: invokestatic #182,>>>0: ldc_w #502 |    3: invokestatic #504 |    6: invokestatic #180
zombie/GameWindow,run_ez,()V,STRUCTURAL,57,57,0,CONST_POOL_DIFF,18 constant pool refs differ,0,>>>0: invokestatic #469 |    3: lstore_0  |    4: lconst_0 ,>>>0: invokestatic #467 |    3: lstore_0  |    4: lconst_0 
zombie/Lua/LuaManager,RunLuaInternal,(Ljava/lang/String;Z)Ljava/lang/Object;,STRUCTURAL,172,170,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload_0': 1, 'astore_2': 1, 'goto': 1, 'astore': 2, 'aload': 2, 'aload_3': 1, 'aload_2': 3}",23,   44: aload_0  |    45: putstatic #514 | >>>48: aload_0  |    49: astore_2  |    50: getstatic #221,   44: aload_0  |    45: putstatic #514 | >>>48: getstatic #221 |    51: aload_0  |    52: ldc_w #479
zombie/Lua/LuaManager$GlobalObject,getLatestSave,()Lse/krka/kahlua/vm/KahluaTable;,STRUCTURAL,48,46,-2,ORIG_EXTRA_INSN,"Original has extra: astore_1, astore_2, astore_2",18,   38: invokespecial #714 |    41: invokespecial #182 | >>>44: astore_1  |    45: goto 51 |    48: astore_2 ,   38: invokespecial #714 |    41: invokespecial #182 | >>>44: astore_2  |    45: goto 51 |    48: astore_3 
zombie/Lua/LuaManager$GlobalObject,deleteAllGameModeSaves,(Ljava/lang/String;)V,CORE_OPS_ONLY,27,31,4,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+1, return diff=-1",0,>>>0: getstatic #293 |    3: astore_1  |    4: aload_0 ,>>>0: new #1169 |    3: dup  |    4: invokespecial #1171
zombie/Lua/LuaManager$GlobalObject,require,(Ljava/lang/String;)Ljava/lang/Object;,STRUCTURAL,37,39,2,OPCODE_DIFF,2 opcode differences: #2 aload_0->aload_1; #6 aload_0->aload_1,2,   0: aload_0  |    1: astore_1  | >>>2: aload_1  |    3: ldc_w #1468 |    6: invokevirtual #1470,   0: aload_0  |    1: astore_1  | >>>2: aload_0  |    3: ldc_w #1471 |    6: invokevirtual #1473
zombie/Lua/LuaManager$GlobalObject,createStory,(Ljava/lang/String;)V,STRUCTURAL,37,37,0,OPCODE_DIFF,2 opcode differences: #30 astore->astore_3; #31 aload->aload_3,3,   1: putstatic #293 |    4: getstatic #150 | >>>7: invokevirtual #1169 |    10: astore_1  |    11: aload_1 ,   1: putstatic #293 |    4: getstatic #150 | >>>7: invokevirtual #1172 |    10: astore_1  |    11: aload_1 
zombie/Lua/LuaManager$GlobalObject,proceedPM,(Ljava/lang/String;)Ljava/lang/String;,SORTED_MULTISET,40,39,-1,ORIG_EXTRA_INSN,"Original has extra: astore_1, astore_2, goto",7,   7: aconst_null  |    8: astore_2  | >>>9: ldc_w #4275 |    12: invokestatic #4277 |    15: aload_0 ,   7: aconst_null  |    8: astore_2  | >>>9: ldc_w #4274 |    12: invokestatic #4276 |    15: aload_0 
zombie/MapGroups,getLotDirectories,(Ljava/lang/String;)Ljava/util/ArrayList;,STRUCTURAL,72,70,-2,ORIG_EXTRA_INSN,"Original has extra: goto, areturn, aload_3",20,   36: invokevirtual #287 |    39: invokespecial #290 | >>>42: astore 4 |    44: new #291 |    47: dup ,   36: invokevirtual #287 |    39: invokespecial #290 | >>>42: astore 5 |    44: new #291 |    47: dup 
zombie/MapGroups,getMapConflicts,(Ljava/lang/String;)Ljava/util/ArrayList;,STRUCTURAL,21,22,1,RECOMP_EXTRA_GOTO,Recomp has 1 extra goto(s),6,"   8: aload_2  |    9: invokeinterface #71,  1 | >>>14: ifeq 65 |    17: aload_2  |    18: invokeinterface #77,  1","   8: aload_2  |    9: invokeinterface #71,  1 | >>>14: ifeq 68 |    17: aload_2  |    18: invokeinterface #77,  1"
zombie/MapGroups$MapGroup,addDirectory,(Ljava/lang/String;Ljava/lang/String;)V,SORTED_MULTISET,23,24,1,COUNT_DIFF_+3,"Instruction count diff=+3, goto diff=+0, return diff=+0",14,   26: aload_0  |    27: getfield #1 | >>>30: aload_1  |    31: aload_2  |    32: invokespecial #33,   26: aload_0  |    27: getfield #1 | >>>30: dup  |    31: invokestatic #33 |    34: pop 
zombie/MapGroups$MapGroup,addDirectory,(Ljava/lang/String;Ljava/lang/String;Ljava/util/ArrayList;)V,SORTED_MULTISET,24,25,1,COUNT_DIFF_+3,"Instruction count diff=+3, goto diff=+0, return diff=+0",14,   26: aload_0  |    27: getfield #1 | >>>30: aload_1  |    31: aload_2  |    32: aload_3 ,   26: aload_0  |    27: getfield #1 | >>>30: dup  |    31: invokestatic #33 |    34: pop 
zombie/SandboxOptions,load,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,133,134,1,RECOMP_EXTRA_INSN,"Recomp has extra: istore_2, istore_3, iload_2",1,   0: aload_1  | >>>1: invokevirtual #737 |    4: pop  |    5: aload_1 ,   0: aload_1  | >>>1: invokevirtual #735 |    4: pop  |    5: aload_1 
zombie/SandboxOptions,writeLuaFile,(Ljava/lang/String;Z)Z,STRUCTURAL,266,264,-2,RECOMP_EXTRA_INSN,"Recomp has extra: iconst_1, ireturn, goto",0,>>>0: new #930 |    3: dup  |    4: aload_1 ,>>>0: new #928 |    3: dup  |    4: aload_1 
zombie/SandboxOptions,load,()V,SORTED_MULTISET,78,80,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'goto': 2, 'aload_2': 1, 'invokevirtual': 1, 'return': 1}",0,>>>0: getstatic #944 |    3: ldc_w #993 |    6: invokevirtual #995,>>>0: getstatic #942 |    3: ldc_w #991 |    6: invokevirtual #993
zombie/SandboxOptions,newCustomOption,(Lzombie/sandbox/CustomSandboxOption;)V,STRUCTURAL,107,108,1,RECOMP_EXTRA_INSN,"Recomp has extra: goto, goto, goto",1,   0: aload_1  | >>>1: ldc_w #1247 |    4: invokestatic #1129 |    7: checkcast #1247,   0: aload_1  | >>>1: ldc_w #1245 |    4: invokestatic #1127 |    7: checkcast #1245
zombie/VirtualZombieManager,AddBloodToMap,(ILzombie/iso/IsoChunk;)V,SORTED_MULTISET,99,101,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aconst_null': 1, 'astore': 1}",4,   2: iload_3  |    3: iload_1  | >>>4: if_icmpge 194 |    7: aconst_null  |    8: astore 4,   2: iload_3  |    3: iload_1  | >>>4: if_icmpge 197 |    7: aconst_null  |    8: astore 4
zombie/WorldSoundManager,addSound,(Ljava/lang/Object;IIIIIZFFZZZ)Lzombie/WorldSoundManager$WorldSound;,SORTED_MULTISET,143,145,2,COUNT_DIFF_+3,"Instruction count diff=+3, goto diff=+0, return diff=+0",4,   5: aconst_null  |    6: areturn  | >>>7: aload_0  |    8: getfield #10 |    11: dup ,   5: aconst_null  |    6: areturn  | >>>7: aconst_null  |    8: astore 13 |    10: aload_0 
zombie/ZomboidFileSystem,getString,(Ljava/lang/String;)Ljava/lang/String;,STRUCTURAL,42,40,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload_2': 2, 'astore': 1, 'astore_2': 1, 'aload': 1}",1,   0: aload_0  | >>>1: getfield #56 |    4: invokevirtual #415 |    7: checkcast #417,   0: aload_0  | >>>1: getfield #54 |    4: invokevirtual #415 |    7: checkcast #417
zombie/ZomboidFileSystem,isKnownFile,(Ljava/lang/String;)Z,STRUCTURAL,42,40,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload_2': 2, 'astore': 1, 'astore_2': 1, 'aload': 1}",1,   0: aload_0  | >>>1: getfield #35 |    4: aload_1  |    5: invokevirtual #427,   0: aload_0  | >>>1: getfield #33 |    4: aload_1  |    5: invokevirtual #427
zombie/ZomboidFileSystem,loadModPackFiles,()V,STRUCTURAL,66,66,0,CONST_POOL_DIFF,41 constant pool refs differ,1,   0: aload_0  | >>>1: getfield #63 |    4: invokevirtual #787 |    7: astore_1 ,   0: aload_0  | >>>1: getfield #61 |    4: invokevirtual #787 |    7: astore_1 
zombie/ZomboidFileSystem,loadModTileDefs,()V,STRUCTURAL,78,78,0,CONST_POOL_DIFF,32 constant pool refs differ,0,>>>0: new #32 |    3: dup  |    4: invokespecial #34,>>>0: new #30 |    3: dup  |    4: invokespecial #32
zombie/ZomboidFileSystem,loadModTileDefPropertyStrings,()V,STRUCTURAL,78,78,0,CONST_POOL_DIFF,21 constant pool refs differ,0,>>>0: new #32 |    3: dup  |    4: invokespecial #34,>>>0: new #30 |    3: dup  |    4: invokespecial #32
zombie/ai/GameCharacterAIBrain,HasBlockedMemory,(IIIIII)Z,SORTED_MULTISET,118,116,-2,ORIG_EXTRA_INSN,"Original has extra: goto, iconst_0, ireturn",3,   1: getfield #23 |    4: dup  | >>>5: astore 9 |    7: monitorenter  |    8: getstatic #203,   1: getfield #23 |    4: dup  | >>>5: astore 7 |    7: monitorenter  |    8: getstatic #203
zombie/ai/ZombieGroupManager,update,(Lzombie/characters/IsoZombie;)V,SORTED_MULTISET,378,379,1,COUNT_DIFF_-3,"Instruction count diff=-3, goto diff=+9, return diff=-12",1,   0: getstatic #170 | >>>3: ifeq 14 |    6: aload_1  |    7: invokevirtual #176,   0: getstatic #170 | >>>3: ifeq 13 |    6: aload_1  |    7: invokevirtual #176
zombie/ai/states/BumpedState,enter,(Lzombie/characters/IsoGameCharacter;)V,SORTED_MULTISET,77,76,-1,RECOMP_EXTRA_INSN,"Recomp has extra: 132, 164, istore",25,   42: ldc #52 |    44: invokevirtual #54 | >>>47: ifeq 195 |    50: aload_1  |    51: ldc #58,   42: ldc #52 |    44: invokevirtual #54 | >>>47: ifeq 197 |    50: aload_1  |    51: ldc #58
zombie/ai/states/ClimbOverWallState,getFence,(Lzombie/characters/IsoGameCharacter;)Lzombie/iso/IsoObject;,STRUCTURAL,74,74,0,LARGE_STRUCTURAL_DIFF_+6,"Major structural diff=+6, similarity=89.1%",49,   111: astore 9 |    113: aload 6 | >>>115: ifnull 123 |    118: aload 9 |    120: ifnonnull 125,   111: astore 9 |    113: aload 6 | >>>115: ifnull 226 |    118: aload 9 |    120: ifnull 226
zombie/ai/states/SwipeStatePlayer,DoSwingCollisionBoneCheck,(Lzombie/characters/IsoGameCharacter;Lzombie/inventory/types/HandWeapon;Lzombie/characters/IsoGameCharacter;IF)I,STRUCTURAL,102,100,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload_3': 1, 'astore': 1, 'aload': 1, 'dup': 2}",2,   0: getstatic #411 |    3: invokevirtual #414 | >>>6: aload_3  |    7: astore 6 |    9: iload 4,   0: getstatic #411 |    3: invokevirtual #414 | >>>6: iload 4 |    8: istore 6 |    10: aload_2 
zombie/ai/states/SwipeStatePlayer,shouldIgnoreProneZombies,(Lzombie/characters/IsoGameCharacter;Ljava/util/ArrayList;F)Z,SORTED_MULTISET,67,69,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aload_1': 1, 'getfield': 1, 'f2i': 1, 'istore': 1, 'iload': 1}",25,   44: aload_2  |    45: invokevirtual #916 | >>>48: if_icmpge 170 |    51: aload_2  |    52: iload 5,   44: aload_2  |    45: invokevirtual #916 | >>>48: if_icmpge 174 |    51: aload_2  |    52: iload 5
zombie/ai/states/SwipeStatePlayer,isProneTargetBetter,(Lzombie/characters/IsoGameCharacter;Lzombie/network/packets/hit/HitInfo;Lzombie/network/packets/hit/HitInfo;)Z,SORTED_MULTISET,64,68,4,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+0, return diff=+0",22,   38: iconst_0  |    39: ireturn  | >>>40: getstatic #967 |    43: aload_1  |    44: getfield #438,   38: iconst_0  |    39: ireturn  | >>>40: aload_1  |    41: getfield #448 |    44: f2i 
zombie/ai/states/SwipeStatePlayer,CalcHitListShove,(Lzombie/characters/IsoGameCharacter;ZLzombie/network/packets/hit/AttackVars;Ljava/util/ArrayList;)V,STRUCTURAL,192,191,-1,ORIG_EXTRA_INSN,"Original has extra: if_acmpne, goto",14,   26: aload 6 |    28: invokevirtual #916 | >>>31: if_icmpge 499 |    34: aload 6 |    36: iload 7,   26: aload 6 |    28: invokevirtual #916 | >>>31: if_icmpge 496 |    34: aload 6 |    36: iload 7
